,plan_year,op_year,unmet_demand,number_hours_unmet_threshold_10_percent,daily_average_unmet_demand
0,2010,2010,0.0,0,0.0
1,2010,2011,0.0,0,0.0
2,2010,2012,0.0,0,0.0
3,2010,2013,0.0,0,0.0
4,2010,2014,0.0,0,0.0
5,2010,2015,0.0,0,0.0
6,2010,2016,0.0,0,0.0
7,2010,2017,0.0,0,0.0
8,2010,2018,0.0,0,0.0
9,2010,2019,0.0,0,0.0
10,2011,2010,6579152.087432201,1118,23084.744166428773
11,2011,2011,0.0,0,0.0
12,2011,2012,1919640.9631038783,339,14325.67882913342
13,2011,2013,1720637.306777149,301,11547.9013877661
14,2011,2014,2297640.15799177,421,13676.429511855778
15,2011,2015,15287.042467415873,5,2547.840411235979
16,2011,2016,4583010.517532986,781,16665.49279102904
17,2011,2017,3098124.3773781164,505,11915.862989915831
18,2011,2018,627134.005990813,127,3732.9405118500777
19,2011,2019,956448.4063380299,179,10746.611307168876
20,2012,2010,4809486.727639282,815,17489.04264596102
21,2012,2011,0.0,0,0.0
22,2012,2012,0.0,0,0.0
23,2012,2013,0.0,0,0.0
24,2012,2014,854760.8293650879,129,7368.627839354206
25,2012,2015,272.1966382984422,0,272.1966382984422
26,2012,2016,2846843.07701388,497,11034.275492301862
27,2012,2017,1340276.8933670372,254,5904.303495008975
28,2012,2018,0.0,0,0.0
29,2012,2019,3.5832415552504244,0,3.5832415552504244
30,2013,2010,4798289.054696377,846,16895.38399540978
31,2013,2011,1239.349734180876,0,619.674867090438
32,2013,2012,286999.7250989018,35,6833.32678806909
33,2013,2013,0.0,0,0.0
34,2013,2014,938132.8635930684,148,7445.498917405304
35,2013,2015,1571.9319665314547,1,1571.9319665314547
36,2013,2016,2829159.885796249,519,11407.902765307457
37,2013,2017,1416430.9455387157,268,6001.8260404182865
38,2013,2018,0.0,0,0.0
39,2013,2019,503.4766205169303,0,503.4766205169303
40,2014,2010,4870156.012688516,871,17455.756317879983
41,2014,2011,0.0,0,0.0
42,2014,2012,290533.1408720113,32,9079.160652250353
43,2014,2013,0.0,0,0.0
44,2014,2014,0.0,0,0.0
45,2014,2015,414.66004947506724,0,414.66004947506724
46,2014,2016,2801744.825063337,539,10653.022148529797
47,2014,2017,1403156.0500652788,268,6074.268615001208
48,2014,2018,0.0,0,0.0
49,2014,2019,0.0,0,0.0
50,2015,2010,7436283.444861613,1182,24705.260614158185
51,2015,2011,824088.2613586697,173,4000.428453197426
52,2015,2012,2773602.023793853,514,11183.879128201019
53,2015,2013,2540237.171511463,473,10326.167363867735
54,2015,2014,2655908.680056638,492,14920.835281217069
55,2015,2015,0.0,0,0.0
56,2015,2016,5429538.065683591,910,18852.56272806802
57,2015,2017,3938306.191767512,640,14532.495172573845
58,2015,2018,1511982.3992444754,330,5748.982506632987
59,2015,2019,1654425.1368817466,337,7695.000636659288
60,2016,2010,2034824.041986169,391,8808.762086520212
61,2016,2011,0.0,0,0.0
62,2016,2012,119.66487729956366,0,119.66487729956366
63,2016,2013,0.0,0,0.0
64,2016,2014,113.76785885542449,0,113.76785885542449
65,2016,2015,482.4296853127139,0,482.4296853127139
66,2016,2016,0.0,0,0.0
67,2016,2017,102.95187701135274,0,102.95187701135274
68,2016,2018,0.0,0,0.0
69,2016,2019,0.0,0,0.0
70,2017,2010,3516299.248721216,605,14530.162184798413
71,2017,2011,0.0,0,0.0
72,2017,2012,0.0,0,0.0
73,2017,2013,0.0,0,0.0
74,2017,2014,151152.84234163348,26,4445.671833577455
75,2017,2015,163.7774687818951,0,163.7774687818951
76,2017,2016,1550521.1651105294,281,11658.053873011499
77,2017,2017,0.0,0,0.0
78,2017,2018,0.0,0,0.0
79,2017,2019,0.0,0,0.0
80,2018,2010,5750109.127603326,816,41367.69156549156
81,2018,2011,1727184.4710267521,297,20083.54036077619
82,2018,2012,2547442.7457271703,432,21960.713325234225
83,2018,2013,2285476.1592164594,380,17055.79223295865
84,2018,2014,2980175.4493140583,486,17952.86415249433
85,2018,2015,1814413.9090773766,319,23873.86722470232
86,2018,2016,4504740.46169583,704,26813.931319618037
87,2018,2017,3091985.564805734,467,21928.9756369201
88,2018,2018,0.0,0,0.0
89,2018,2019,1335854.2976225829,248,17126.337149007475
90,2019,2010,6266578.50924037,1055,22704.994598696994
91,2019,2011,232676.9735755821,38,4748.509664807797
92,2019,2012,1391263.647066081,269,6853.515502788576
93,2019,2013,1336974.1901489766,268,7386.597735629705
94,2019,2014,2761928.3341028923,519,15175.430407158748
95,2019,2015,784.6118828650517,0,784.6118828650517
96,2019,2016,4346026.98282747,746,16400.10182199045
97,2019,2017,2830946.1881623752,508,11058.383547509278
98,2019,2018,162462.90921831827,41,1746.9130023475086
99,2019,2019,0.0,0,0.0
