nodes,techs,carriers,definition_matrix
netherlands,battery,hydrogen,False
netherlands,battery,power,True
netherlands,demand_power,hydrogen,False
netherlands,demand_power,power,True
netherlands,electrolyser,hydrogen,True
netherlands,electrolyser,power,True
netherlands,h2_elec_conversion,hydrogen,True
netherlands,h2_elec_conversion,power,True
netherlands,h2_salt_cavern,hydrogen,True
netherlands,h2_salt_cavern,power,False
netherlands,nuclear,hydrogen,False
netherlands,nuclear,power,True
netherlands,offshore_wind,hydrogen,False
netherlands,offshore_wind,power,True
netherlands,onshore_wind,hydrogen,False
netherlands,onshore_wind,power,True
netherlands,solar,hydrogen,False
netherlands,solar,power,True
